,year,Exports,latitde,longitude,color,country,Imports,unemployment
0,1991,41218.41,47.516231,14.550072,1,Austria,54383.23,5.823096
1,1992,44392.88,47.516231,14.550072,1,Austria,57146.05,5.941711
2,1993,40190.33,47.516231,14.550072,1,Austria,48950.21,6.811381
3,1994,45059,47.516231,14.550072,1,Austria,55115.38,6.54548
4,1995,57585.45,47.516231,14.550072,1,Austria,64439.78,6.589767
5,1996,57830.18,47.516231,14.550072,1,Austria,66951.82,7.033851
6,1997,58533.21,47.516231,14.550072,1,Austria,64973.34,7.103283
7,1998,62637.92,47.516231,14.550072,1,Austria,68196.4,7.184796
8,1999,64164.47,47.516231,14.550072,1,Austria,69606.05,6.645249
9,2000,64228.91,47.516231,14.550072,1,Austria,69092,5.803798
10,2001,66605.5,47.516231,14.550072,1,Austria,70598.17,6.094126
11,2002,73168.82,47.516231,14.550072,1,Austria,72872.45,6.871619
12,2003,89276.86,47.516231,14.550072,1,Austria,91575.15,7.014327
13,2004,111635.2,47.516231,14.550072,1,Austria,113200.4,7.067993
14,2005,117515.2,47.516231,14.550072,1,Austria,119705.3,7.272203
15,2006,130238.8,47.516231,14.550072,1,Austria,130830.3,6.779991
16,2007,157087.2,47.516231,14.550072,1,Austria,156527.2,6.212398
17,2008,173591,47.516231,14.550072,1,Austria,176281.4,5.900179
18,2009,130668.7,47.516231,14.550072,1,Austria,136040.5,7.277396
19,2010,144935.9,47.516231,14.550072,1,Austria,150497.6,6.924822
20,2011,169826,47.516231,14.550072,1,Austria,182808.6,6.724885
21,2012,159107.1,47.516231,14.550072,1,Austria,169989.1,6.97184
22,2013,167217,47.516231,14.550072,1,Austria,173746.6,7.616157
23,2014,170174,47.516231,14.550072,1,Austria,172741.9,8.368532
24,2015,145926,47.516231,14.550072,1,Austria,148323.8,9.10786
25,2016,101712.5616,47.516231,14.550072,1,Austria,107383.7092,9.067555
26,2017,101712.5616,47.516231,14.550072,1,Austria,107383.7092,8.872358
0,1991,139363.6889,50.503887,4.469936,2,Belgium,287394.1087,6.439811
1,1992,148396.8667,50.503887,4.469936,2,Belgium,287394.1087,7.088083
2,1993,125857.4,50.503887,4.469936,2,Belgium,116670.3,8.619116
3,1994,143836.8,50.503887,4.469936,2,Belgium,129613.8,9.753488
4,1995,175496.4,50.503887,4.469936,2,Belgium,154411.8,9.67386
5,1996,175388.5,50.503887,4.469936,2,Belgium,162122.2,9.543726
6,1997,171783.8,50.503887,4.469936,2,Belgium,157565.4,9.212427
7,1998,178992.1,50.503887,4.469936,2,Belgium,164829.7,9.338412
8,1999,179023.2,50.503887,4.469936,2,Belgium,164608.1,8.484549
9,2000,187872.9,50.503887,4.469936,2,Belgium,177223.8,6.874786
10,2001,190515.7,50.503887,4.469936,2,Belgium,178940.6,6.590747
11,2002,216277.2,50.503887,4.469936,2,Belgium,198607.2,7.528499
12,2003,255666,50.503887,4.469936,2,Belgium,235079.4,8.185468
13,2004,307715.3,50.503887,4.469936,2,Belgium,286369.5,8.390217
14,2005,335193.6,50.503887,4.469936,2,Belgium,318536.1,8.442446
15,2006,366568.3,50.503887,4.469936,2,Belgium,352699.1,8.259225
16,2007,431632.3,50.503887,4.469936,2,Belgium,412729.1,7.488605
17,2008,471908.3,50.503887,4.469936,2,Belgium,466862.6,6.964459
18,2009,371731.7,50.503887,4.469936,2,Belgium,354932.4,7.884973
19,2010,407417,50.503887,4.469936,2,Belgium,391473.9,8.302332
20,2011,476782.4,50.503887,4.469936,2,Belgium,467841.5,7.158453
21,2012,446965.7,50.503887,4.469936,2,Belgium,440021.1,7.568119
22,2013,467441.2,50.503887,4.469936,2,Belgium,449382.6,8.454513
23,2014,472864.4,50.503887,4.469936,2,Belgium,453677.4,8.534938
24,2015,398079.4,50.503887,4.469936,2,Belgium,375866.9,8.501206
25,2016,302391.7217,50.503887,4.469936,2,Belgium,287394.1087,7.96702
26,2017,302391.7217,50.503887,4.469936,2,Belgium,287394.1087,8.066657148
